# 1D Sod shock tube solution
# scheme = muscl
# nsteps = 1104
# time =     0.2500000000
x,rho,u,p,E
    0.00000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00100000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00200000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00300000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00400000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00600000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00700000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00800000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00900000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01100000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01200000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01300000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01400000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01600000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01700000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01800000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01900000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02100000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02200000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02300000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02400000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02600000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02700000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02800000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
